,X_0,X_1,X_2,X_3,X_4,X_5,Y
0,0,3.031256421142734,6.742081138356407,5.139090704776913,8.259298144103425,2.108494442547366,1039.0499552459846
1,1,7.14917753113833,3.5505362266124605,0.12481312794168024,1.522778843114069,0.5531930685372182,1081.2685818717298
2,1,14.512651202601095,6.566570115802842,1.2273220027742593,5.780310458659546,2.354305400718671,1278.2367347927293
3,1,11.957346004715806,2.128020266001185,1.4184605207154086,6.670653440842854,0.4916982968797031,1168.1079433460473
4,1,12.627425986561237,4.1976579377053636,3.2530507103972828,3.1567935321299605,0.557410500985319,1218.4294591759808
5,0,10.089834486326104,4.5781306552522185,4.542580149203783,10.690378555713597,-0.324041667909198,987.8827109577229
6,1,5.231589569360093,4.954508810250806,0.4038746232845785,9.733977891298851,2.5398392832588494,1089.2291770029576
7,1,9.810477092157715,2.388824361841424,1.6955344410979296,3.0198967790583877,0.9354137200883832,1114.503254713485
8,1,8.30678649683065,2.847213166478554,1.504171544676445,1.50014830108034,1.5453975491766168,1104.6132877911286
9,0,11.172116949784883,5.829093380053805,1.2984441785114655,5.707586394573662,0.2854554091606275,1009.6494520636757
10,0,14.812724717136302,7.050866763427761,1.3165112167668631,0.2376298985026022,2.6044817322864096,1015.4720209895967
11,1,17.29486063752774,3.187681636559383,1.5562683528217474,2.1862225841353142,-0.06921389086793539,1323.4434244450765
12,1,6.989764993754968,7.458027803820825,1.5579434906569671,11.006101732752715,-0.1844598738803429,1099.7757248101211
13,1,10.349606978582447,5.705169089034393,3.5921707210277156,10.134562291992758,0.9879585232167621,1186.7040217488413
14,0,12.939985776278368,2.911156565481715,0.9695440278346034,9.944693475336265,1.7387225324607645,1024.9431952923264
15,1,18.344349842250868,2.9185985100345153,4.99395782343813,8.058678963234525,-0.4273936757254615,1378.5035130554409
16,0,9.819608059481613,2.1105806654943913,0.16536354211176452,6.773033940940595,0.8046363536201508,998.7103024695097
17,1,11.77831889555246,6.560029370066564,0.02226664514105954,1.5571189150098714,1.468271517654917,1188.9155141838814
18,1,8.060763280647965,6.560544289573972,0.5581801950660381,11.5481518677155,2.5788952540329824,1152.6488058420334
19,0,9.23314982218615,7.1885225635067025,0.4023078924833975,6.33308623456407,1.197097416100823,996.245286254482
20,1,10.872580890035175,4.597340990829258,3.5268807719718294,10.948021867480557,1.0730980250840236,1166.8234324059172
21,1,8.829958737520117,5.201692046332073,0.6440977103454407,11.284775457302155,0.4860979110524182,1121.573089605862
22,0,6.4503209635085685,4.208070772387976,0.4007757218108872,8.299194212275792,1.120425846771858,1003.0669828495347
23,1,8.812570978164175,2.6978781774055127,0.07726230060412724,7.92914484399488,-0.2725423755867924,1094.8920157652158
24,1,8.988767126880889,7.792583753922696,1.2785939697009152,2.8917389880325164,2.1223963038663474,1152.9199026473798
25,0,9.6493186698983,5.883704394667619,0.12236916977878391,10.291053866877387,0.7445812419051269,1004.0900872270272
